Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification
Salbutamol 325 XR,OTC,Drops,325 mg,Zydus,Blood pressure,Antibiotic
Omnacortil 100 250,OTC,Cream,100 mg,Torrent,Blood pressure,Supplement
Dolo 500,OTC,Drops,50 mg,Pfizer,Vitamin deficiency,Antacid
Pantoprazole 1% Forte,Prescription,Tablet,1%,GlaxoSmithKline,Respiratory infection,Anticoagulant
Zincovit,Prescription,Tablet,125 mg,Aurobindo,Anxiety,Diuretic
Salbutamol 1000 50,OTC,Tablet,1000 IU,Abbott,Anxiety,Antibiotic
Ramipril 2000 Forte,Prescription,Capsule,2000 IU,GlaxoSmithKline,Respiratory infection,Antihypertensive
Ofloxacin Plus,OTC,Cream,100 mg,Abbott,Allergy,Antidiabetic
Metronidazole Plus,OTC,Drops,2%,Glenmark,Pain relief,Antihypertensive
Metoprolol 2000,OTC,Cream,2000 IU,Glenmark,Heartburn,Antidepressant
Aspirin 2000 250,OTC,Capsule,2000 IU,Aurobindo,Blood pressure,Antacid
Amikacin 500 50,OTC,Cream,500 mg,Merck,Infection,Corticosteroid
Azithromycin XR,Prescription,Cream,200 mg,Lupin,Skin infection,Supplement
Hydralazine 500,OTC,Drops,50 mg,Aurobindo,Depression,Corticosteroid
Cefixime 650 DS,OTC,Drops,650 mg,Alkem,Bacterial infection,Corticosteroid
Levocetirizine 1000,OTC,Capsule,1000 IU,GlaxoSmithKline,Allergy,Antiplatelet
Pantoprazole 60000 1000,OTC,Tablet,60000 IU,GlaxoSmithKline,Anxiety,Antihypertensive
Azithromycin 400 Forte,Prescription,Ointment,400 IU,Lupin,Blood pressure,Corticosteroid
Omeprazole 200 SR,Prescription,Capsule,200 mg,Aurobindo,Heartburn,Anxiolytic
Combiflam 2% 250,Prescription,Tablet,2%,Abbott,Immunity booster,Antibiotic
Levofloxacin 300,OTC,Tablet,300 mg,Sun Pharma,Immunity booster,Antibiotic
Telmisartan 400,Prescription,Drops,400 IU,Merck,Heartburn,Antiplatelet
Omeprazole 50,Prescription,Capsule,300 mg,Zydus,Diabetes,Antidepressant
Vitamin C DS,OTC,Drops,750 mg,Zydus,Pain relief,Supplement
Loratadine 400 DS,OTC,Cream,400 IU,Bayer,Hypertension,Supplement
Levocetirizine 100 Plus,OTC,Tablet,100 mg,Aurobindo,Fever,Antibiotic
Simvastatin 1000 Forte,Prescription,Tablet,1000 mg,Dr. Reddy's,Skin infection,Analgesic
Metronidazole 1% Plus,Prescription,Capsule,1%,Torrent,Anxiety,Antihypertensive
